id,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall_score,value_eur,wage_eur,team_position
158023,L. Messi,Lionel Andrés Messi Cuccittini,32,6/24/1987,170,72,Argentina,FC Barcelona,94,95500000,565000,RW
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,2/5/1985,187,83,Portugal,Juventus,93,58500000,405000,LW
190871,Neymar Jr,Neymar da Silva Santos Junior,27,2/5/1992,175,68,Brazil,Paris Saint-Germain,92,105500000,290000,CAM
200389,J. Oblak,Jan Oblak,26,1/7/1993,188,87,Slovenia,Atlético Madrid,91,77500000,125000,GK
183277,E. Hazard,Eden Hazard,28,1/7/1991,175,74,Belgium,Real Madrid,91,90000000,470000,LW
192985,K. De Bruyne,Kevin De Bruyne,28,6/28/1991,181,70,Belgium,Manchester City,91,90000000,370000,RCM
192448,M. ter Stegen,Marc-André ter Stegen,27,4/30/1992,187,85,Germany,FC Barcelona,90,67500000,250000,GK
203376,V. van Dijk,Virgil van Dijk,27,7/8/1991,193,92,Netherlands,Liverpool,90,78000000,200000,LCB
177003,L. Modrić,Luka Modrić,33,9/9/1985,172,66,Croatia,Real Madrid,90,45000000,340000,RCM
209331,M. Salah,Mohamed  Salah Ghaly,27,6/15/1992,175,71,Egypt,Liverpool,90,80500000,240000,RW
231747,K. Mbappé,Kylian Mbappé,20,12/20/1998,178,73,France,Paris Saint-Germain,89,93500000,155000,RW
201024,K. Koulibaly,Kalidou Koulibaly,28,6/20/1991,187,89,Senegal,Napoli,89,67500000,150000,LCB
202126,H. Kane,Harry Kane,25,7/28/1993,188,89,England,Tottenham Hotspur,89,83000000,220000,ST
212831,Alisson,Alisson Ramses Becker,26,10/2/1992,191,91,Brazil,Liverpool,,58000000,155000,GK
193080,De Gea,David De Gea Quintana,28,11/7/1990,192,82,Spain,Manchester United,89,56000000,205000,GK
215914,N. Kanté,N'Golo Kanté,28,3/29/1991,168,72,France,Chelsea,89,66000000,235000,RCM
138956,G. Chiellini,Giorgio Chiellini,34,8/14/1984,187,85,Italy,Juventus,89,24500000,215000,LCB
153079,S. Agüero,Sergio Leonel Agüero del Castillo,31,6/2/1988,173,70,Argentina,Manchester City,89,60000000,300000,ST
155862,Sergio Ramos,Sergio Ramos García,33,3/30/1986,184,82,Spain,Real Madrid,89,31500000,300000,LCB
176580,L. Suárez,Luis Alberto Suárez Díaz,32,1/24/1987,182,86,Uruguay,FC Barcelona,89,53000000,355000,ST
188545,R. Lewandowski,Robert Lewandowski,30,8/21/1988,184,80,Poland,FC Bayern München,89,64500000,235000,ST
189511,Sergio Busquets,Sergio Busquets i Burgos,30,7/16/1988,189,76,Spain,FC Barcelona,89,55000000,300000,CDM
194765,A. Griezmann,Antoine Griezmann,28,3/21/1991,176,73,France,FC Barcelona,89,69000000,370000,LW
211110,P. Dybala,Paulo Bruno Exequiel Dybala,25,11/15/1993,177,75,Argentina,Juventus,88,76500000,215000,RW
195864,P. Pogba,Paul Pogba,26,3/15/1993,191,84,France,Manchester United,88,72500000,250000,LDM
210257,Ederson,Ederson Santana de Moraes,25,8/17/1993,188,86,Brazil,Manchester City,88,54500000,185000,GK
202652,R. Sterling,Raheem Sterling,24,12/8/1994,170,69,England,Manchester City,88,73000000,255000,LW
190460,C. Eriksen,Christian  Dannemann Eriksen,27,2/14/1992,181,76,Denmark,Tottenham Hotspur,88,68000000,205000,RM
192119,T. Courtois,Thibaut Courtois,27,5/11/1992,199,96,Belgium,Real Madrid,88,48000000,235000,GK
152729,Piqué,Gerard Piqué Bernabéu,32,2/2/1987,194,85,Spain,FC Barcelona,88,38000000,285000,RCB
162835,S. Handanovič,Samir Handanovič,34,7/14/1984,193,92,Slovenia,Inter,88,26000000,110000,GK
167495,M. Neuer,Manuel Neuer,33,3/27/1986,193,92,Germany,FC Bayern München,88,32000000,155000,GK
167948,H. Lloris,Hugo Lloris,32,12/26/1986,188,82,France,Tottenham Hotspur,88,36000000,150000,GK
168542,David Silva,David Josué Jiménez Silva,33,1/8/1986,173,67,Spain,Manchester City,88,36000000,265000,LCM
179813,E. Cavani,Edinson Roberto Cavani Gómez,32,2/14/1987,185,77,Uruguay,Paris Saint-Germain,88,47000000,195000,ST
182493,D. Godín,Diego Godín,33,2/16/1986,187,78,Uruguay,Inter,88,28000000,135000,RCB
182521,T. Kroos,Toni Kroos,29,1/4/1990,183,76,Germany,Real Madrid,88,57000000,330000,LCM
188350,M. Reus,Marco Reus,30,5/31/1989,180,71,Germany,Borussia Dortmund,88,56000000,170000,CAM
188567,P. Aubameyang,Pierre-Emerick Aubameyang,30,6/18/1989,187,80,Gabon,Arsenal,88,57000000,205000,LM
208722,S. Mané,Sadio Mané,27,4/10/1992,175,69,Senegal,Liverpool,88,62000000,220000,LW
212218,A. Laporte,Aymeric  Laporte,25,5/27/1994,189,85,France,Manchester City,87,56500000,195000,LCB
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,24,8/10/1994,173,64,Portugal,Manchester City,87,64000000,210000,RW
200145,Casemiro,Carlos Henrique Venancio Casimiro,27,2/23/1992,185,84,Brazil,Real Madrid,87,53500000,240000,CDM
200104,H. Son,손흥민 孙兴慜,26,7/8/1992,183,78,Korea Republic,Tottenham Hotspur,87,60000000,185000,LM
135507,Fernandinho,Fernando Luiz Rosa,34,5/4/1985,179,67,Brazil,Manchester City,87,19500000,200000,CDM
164240,Thiago Silva,Thiago Emiliano da Silva,34,9/22/1984,183,82,Brazil,Paris Saint-Germain,87,18500000,135000,LCB
165153,K. Benzema,Karim Benzema,31,12/19/1987,185,81,France,Real Madrid,87,45000000,285000,CF
172871,J. Vertonghen,Jan Vertonghen,32,4/24/1987,189,86,Belgium,Tottenham Hotspur,87,32500000,155000,LCB
175943,D. Mertens,Dries Mertens,32,5/6/1987,169,61,Belgium,Napoli,87,40000000,135000,SUB
178603,M. Hummels,Mats  Hummels,30,12/16/1988,191,94,Germany,Borussia Dortmund,87,41000000,130000,LCB
184087,T. Alderweireld,Toby Alderweireld,30,3/2/1989,186,81,Belgium,Tottenham Hotspur,87,41000000,155000,RCB
189332,Jordi Alba,Jordi Alba Ramos,30,3/21/1989,170,68,Spain,FC Barcelona,87,40000000,240000,LB
