Date,Total_Individuals_in_Shelter
9/25/2019 0:00,59947
9/24/2019 0:00,60116
9/23/2019 0:00,60235
9/22/2019 0:00,60166
9/21/2019 0:00,60140
9/20/2019 0:00,60181
9/19/2019 0:00,60339
9/18/2019 0:00,60351
9/17/2019 0:00,60405
9/16/2019 0:00,60463
9/15/2019 0:00,60437
9/14/2019 0:00,60307
9/13/2019 0:00,60401
9/12/2019 0:00,60479
9/11/2019 0:00,60488
9/10/2019 0:00,60479
9/9/2019 0:00,60342
9/8/2019 0:00,60228
9/7/2019 0:00,60096
9/6/2019 0:00,60075
9/5/2019 0:00,60170
9/4/2019 0:00,60121
9/3/2019 0:00,59983
9/2/2019 0:00,59951
9/1/2019 0:00,59978
8/31/2019 0:00,59809
8/30/2019 0:00,59765
8/29/2019 0:00,60002
8/28/2019 0:00,60069
8/27/2019 0:00,60181
8/26/2019 0:00,60120
8/25/2019 0:00,60114
8/24/2019 0:00,60013
8/23/2019 0:00,60035
8/22/2019 0:00,60142
8/21/2019 0:00,60192
8/20/2019 0:00,60100
8/19/2019 0:00,60074
8/18/2019 0:00,59945
8/17/2019 0:00,59917
8/16/2019 0:00,60071
8/15/2019 0:00,59914
8/14/2019 0:00,60128
8/13/2019 0:00,60184
8/12/2019 0:00,60106
8/11/2019 0:00,60126
8/10/2019 0:00,59953
8/9/2019 0:00,59902
8/8/2019 0:00,59960
8/7/2019 0:00,59882
8/6/2019 0:00,59932
8/5/2019 0:00,59856
8/4/2019 0:00,59815
8/3/2019 0:00,59726
8/2/2019 0:00,59756
8/1/2019 0:00,59831
7/31/2019 0:00,59765
7/30/2019 0:00,59634
7/29/2019 0:00,59695
7/28/2019 0:00,59819
7/27/2019 0:00,59626
7/26/2019 0:00,59617
7/25/2019 0:00,59841
7/24/2019 0:00,59746
7/23/2019 0:00,59689
7/22/2019 0:00,59651
7/21/2019 0:00,59523
7/20/2019 0:00,59439
7/19/2019 0:00,59603
7/18/2019 0:00,59836
7/17/2019 0:00,59802
7/16/2019 0:00,59621
7/15/2019 0:00,59705
7/14/2019 0:00,59657
7/13/2019 0:00,59511
7/12/2019 0:00,59616
7/11/2019 0:00,59760
7/10/2019 0:00,59604
7/9/2019 0:00,59561
7/8/2019 0:00,59557
7/7/2019 0:00,59476
7/6/2019 0:00,59245
7/5/2019 0:00,59298
7/4/2019 0:00,59372
7/3/2019 0:00,59232
7/2/2019 0:00,59098
7/1/2019 0:00,58978
6/30/2019 0:00,58858
6/29/2019 0:00,58867
6/28/2019 0:00,58909
6/27/2019 0:00,59113
6/26/2019 0:00,59142
6/25/2019 0:00,58952
6/24/2019 0:00,59041
6/23/2019 0:00,58953
6/22/2019 0:00,58867
6/21/2019 0:00,58898
6/20/2019 0:00,59009
6/19/2019 0:00,59017
6/18/2019 0:00,58980
6/17/2019 0:00,59024
6/16/2019 0:00,59069
6/15/2019 0:00,58830
6/14/2019 0:00,58910
6/13/2019 0:00,59082
6/12/2019 0:00,59018
6/11/2019 0:00,58934
6/10/2019 0:00,58948
6/9/2019 0:00,58809
6/8/2019 0:00,58600
6/7/2019 0:00,58584
6/6/2019 0:00,58649
6/5/2019 0:00,58688
6/4/2019 0:00,58656
6/3/2019 0:00,58570
6/2/2019 0:00,58520
6/1/2019 0:00,58394
5/31/2019 0:00,58389
5/30/2019 0:00,58361
5/29/2019 0:00,58402
5/28/2019 0:00,58332
5/27/2019 0:00,58407
5/26/2019 0:00,58289
5/25/2019 0:00,58136
5/24/2019 0:00,58158
5/23/2019 0:00,58251
5/22/2019 0:00,58292
5/21/2019 0:00,58225
5/20/2019 0:00,58165
5/19/2019 0:00,57978
5/18/2019 0:00,57981
5/17/2019 0:00,58115
5/16/2019 0:00,58251
5/15/2019 0:00,58164
5/14/2019 0:00,58119
5/13/2019 0:00,58136
5/12/2019 0:00,58117
5/11/2019 0:00,58080
5/10/2019 0:00,58172
5/9/2019 0:00,58518
5/8/2019 0:00,58322
5/7/2019 0:00,58198
5/6/2019 0:00,58141
5/5/2019 0:00,58038
5/4/2019 0:00,57971
5/3/2019 0:00,58001
5/2/2019 0:00,57860
5/1/2019 0:00,58027
4/30/2019 0:00,57928
4/29/2019 0:00,57826
4/28/2019 0:00,57910
4/27/2019 0:00,57913
4/26/2019 0:00,58035
4/25/2019 0:00,58064
4/24/2019 0:00,58168
4/23/2019 0:00,58020
4/22/2019 0:00,58041
4/21/2019 0:00,58074
4/20/2019 0:00,57939
4/19/2019 0:00,58089
4/18/2019 0:00,58239
4/17/2019 0:00,58215
4/16/2019 0:00,58196
4/15/2019 0:00,58170
4/14/2019 0:00,58062
4/13/2019 0:00,58034
4/12/2019 0:00,58127
4/11/2019 0:00,58139
4/10/2019 0:00,58125
4/9/2019 0:00,58004
4/8/2019 0:00,58010
4/7/2019 0:00,57858
4/6/2019 0:00,57844
4/5/2019 0:00,57974
4/4/2019 0:00,58096
4/3/2019 0:00,58093
4/2/2019 0:00,58104
4/1/2019 0:00,58097
3/31/2019 0:00,57935
3/30/2019 0:00,57743
3/29/2019 0:00,57834
3/28/2019 0:00,58092
3/27/2019 0:00,58040
3/26/2019 0:00,58007
3/25/2019 0:00,57968
3/24/2019 0:00,58027
3/23/2019 0:00,58077
3/22/2019 0:00,58067
3/21/2019 0:00,58224
3/20/2019 0:00,58171
3/19/2019 0:00,58145
3/18/2019 0:00,58191
3/17/2019 0:00,58199
3/16/2019 0:00,58226
3/15/2019 0:00,58246
3/14/2019 0:00,58496
3/13/2019 0:00,58686
3/12/2019 0:00,58673
3/11/2019 0:00,58630
3/10/2019 0:00,58494
3/9/2019 0:00,58554
3/8/2019 0:00,58617
3/7/2019 0:00,58584
3/6/2019 0:00,58545
3/5/2019 0:00,58565
3/4/2019 0:00,58540
3/3/2019 0:00,58396
3/2/2019 0:00,58350
3/1/2019 0:00,58515
2/28/2019 0:00,58610
2/27/2019 0:00,58712
2/26/2019 0:00,58707
2/25/2019 0:00,58742
2/24/2019 0:00,58645
2/23/2019 0:00,58682
2/22/2019 0:00,58665
2/21/2019 0:00,58649
2/20/2019 0:00,58617
2/19/2019 0:00,58586
2/18/2019 0:00,58640
2/17/2019 0:00,58570
2/16/2019 0:00,58516
2/15/2019 0:00,58593
2/14/2019 0:00,58693
2/13/2019 0:00,58794
2/12/2019 0:00,58759
2/11/2019 0:00,58754
2/10/2019 0:00,58579
2/9/2019 0:00,58757
2/8/2019 0:00,58971
2/7/2019 0:00,58810
2/6/2019 0:00,58710
2/5/2019 0:00,59760
2/4/2019 0:00,59871
2/3/2019 0:00,59735
2/2/2019 0:00,59783
2/1/2019 0:00,59870
1/31/2019 0:00,59991
1/30/2019 0:00,60028
1/29/2019 0:00,59951
1/28/2019 0:00,59957
1/27/2019 0:00,59894
1/26/2019 0:00,60051
1/25/2019 0:00,60151
1/24/2019 0:00,60111
1/23/2019 0:00,60066
1/22/2019 0:00,60114
1/21/2019 0:00,60146
1/20/2019 0:00,60103
1/19/2019 0:00,60289
1/18/2019 0:00,60315
1/17/2019 0:00,60277
1/16/2019 0:00,60209
1/15/2019 0:00,60184
1/14/2019 0:00,60210
1/13/2019 0:00,60118
1/12/2019 0:00,60306
1/11/2019 0:00,60386
1/10/2019 0:00,60579
1/9/2019 0:00,60557
1/8/2019 0:00,60512
1/7/2019 0:00,60421
1/6/2019 0:00,60426
1/5/2019 0:00,60422
1/4/2019 0:00,60624
1/3/2019 0:00,60500
1/2/2019 0:00,60450
1/1/2019 0:00,60670
12/31/2018 0:00,60500
12/30/2018 0:00,60365
12/29/2018 0:00,60373
12/28/2018 0:00,60536
12/27/2018 0:00,60620
12/26/2018 0:00,60665
12/25/2018 0:00,60694
12/24/2018 0:00,60673
12/23/2018 0:00,60622
12/22/2018 0:00,60607
12/21/2018 0:00,60678
12/20/2018 0:00,60661
12/19/2018 0:00,60798
12/18/2018 0:00,60730
12/17/2018 0:00,60802
12/16/2018 0:00,60834
12/15/2018 0:00,60811
12/14/2018 0:00,60965
12/13/2018 0:00,60932
12/12/2018 0:00,60878
12/11/2018 0:00,60891
12/10/2018 0:00,60891
12/9/2018 0:00,60921
12/8/2018 0:00,60999
12/7/2018 0:00,61029
12/6/2018 0:00,61084
12/5/2018 0:00,61019
12/4/2018 0:00,61059
12/3/2018 0:00,61003
12/2/2018 0:00,60995
12/1/2018 0:00,61079
11/30/2018 0:00,61204
11/29/2018 0:00,61251
11/28/2018 0:00,61189
11/27/2018 0:00,61155
11/26/2018 0:00,61115
11/25/2018 0:00,61137
11/24/2018 0:00,61186
11/23/2018 0:00,61254
11/22/2018 0:00,61248
11/21/2018 0:00,61227
11/20/2018 0:00,61288
11/19/2018 0:00,61227
11/18/2018 0:00,61167
11/17/2018 0:00,61173
11/16/2018 0:00,61298
11/15/2018 0:00,61291
11/14/2018 0:00,61196
11/13/2018 0:00,61255
11/12/2018 0:00,61279
11/11/2018 0:00,61415
11/10/2018 0:00,61328
11/9/2018 0:00,61164
11/8/2018 0:00,61113
